  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.1175000E+07            0.157452000000E+15            0.867033560000E+05
     0.1175260E+07            0.156357000000E+15            0.866952490000E+05
     0.1175520E+07            0.155230000000E+15            0.866870400000E+05
     0.1175770E+07            0.154100000000E+15            0.866789540000E+05
     0.1176120E+07            0.151315000000E+15            0.866597270000E+05
     0.1176570E+07            0.149246000000E+15            0.866461300000E+05
     0.1177010E+07            0.147006000000E+15            0.866321360000E+05
     0.1177450E+07            0.144727000000E+15            0.866187050000E+05
     0.1177740E+07            0.145477000000E+15            0.866230450000E+05
     0.1177860E+07            0.144793000000E+15            0.866190830000E+05
     0.1177990E+07            0.144082000000E+15            0.866150640000E+05
     0.1178120E+07            0.143370000000E+15            0.866111190000E+05
     0.1178240E+07            0.142777000000E+15            0.866078970000E+05
     0.1178350E+07            0.142113000000E+15            0.866043630000E+05
     0.1178460E+07            0.141422000000E+15            0.866007620000E+05
     0.1178580E+07            0.140730000000E+15            0.865972320000E+05
     0.1178680E+07            0.140210000000E+15            0.865946280000E+05
     0.1178780E+07            0.139595000000E+15            0.865916100000E+05
     0.1178880E+07            0.138955000000E+15            0.865885350000E+05
     0.1178970E+07            0.138315000000E+15            0.865855190000E+05
     0.1179060E+07            0.137771000000E+15            0.865830060000E+05
     0.1179150E+07            0.137169000000E+15            0.865802780000E+05
     0.1179240E+07            0.136543000000E+15            0.865774990000E+05
     0.1179330E+07            0.135917000000E+15            0.865747720000E+05
     0.1179410E+07            0.135337000000E+15            0.865722990000E+05
     0.1179490E+07            0.134724000000E+15            0.865697290000E+05
     0.1179580E+07            0.134087000000E+15            0.865671110000E+05
     0.1179660E+07            0.133451000000E+15            0.865645410000E+05
     0.1179740E+07            0.132765000000E+15            0.865618270000E+05
     0.1179830E+07            0.132090000000E+15            0.865592080000E+05
     0.1179910E+07            0.131390000000E+15            0.865565390000E+05
     0.1180000E+07            0.130691000000E+15            0.865539180000E+05
     0.1180100E+07            0.129366000000E+15            0.865490710000E+05
     0.1180220E+07            0.128319000000E+15            0.865453300000E+05
     0.1180340E+07            0.127224000000E+15            0.865414960000E+05
     0.1180460E+07            0.126135000000E+15            0.865377450000E+05
     0.1180560E+07            0.125571000000E+15            0.865358230000E+05
     0.1180650E+07            0.124748000000E+15            0.865330370000E+05
     0.1180740E+07            0.123908000000E+15            0.865302190000E+05
     0.1180830E+07            0.123072000000E+15            0.865274300000E+05
     0.1180960E+07            0.120798000000E+15            0.865198930000E+05
     0.1181120E+07            0.119224000000E+15            0.865146920000E+05
     0.1181290E+07            0.117641000000E+15            0.865094520000E+05
     0.1181450E+07            0.116076000000E+15            0.865042460000E+05
     0.1181580E+07            0.115986000000E+15            0.865039460000E+05
     0.1181670E+07            0.115162000000E+15            0.865011890000E+05
     0.1181750E+07            0.114344000000E+15            0.864984420000E+05
     0.1181840E+07            0.113527000000E+15            0.864956850000E+05
     0.1181930E+07            0.112655000000E+15            0.864927280000E+05
     0.1182020E+07            0.111816000000E+15            0.864898660000E+05
     0.1182110E+07            0.110985000000E+15            0.864870200000E+05
     0.1182210E+07            0.110155000000E+15            0.864841590000E+05
     0.1182300E+07            0.109177000000E+15            0.864807730000E+05
     0.1182400E+07            0.108280000000E+15            0.864776450000E+05
     0.1182500E+07            0.107393000000E+15            0.864745370000E+05
     0.1182600E+07            0.106506000000E+15            0.864714100000E+05
     0.1182730E+07            0.104718000000E+15            0.864650600000E+05
     0.1182880E+07            0.103398000000E+15            0.864603290000E+05
     0.1183030E+07            0.102099000000E+15            0.864556400000E+05
     0.1183180E+07            0.100799000000E+15            0.864509140000E+05
     0.1183330E+07            0.995664000000E+14            0.864464070000E+05
     0.1183480E+07            0.983069000000E+14            0.864417750000E+05
     0.1183620E+07            0.970630000000E+14            0.864371760000E+05
     0.1183770E+07            0.958179000000E+14            0.864325480000E+05
     0.1183920E+07            0.946508000000E+14            0.864281910000E+05
     0.1184060E+07            0.934498000000E+14            0.864236860000E+05
     0.1184210E+07            0.922605000000E+14            0.864192060000E+05
     0.1184350E+07            0.910705000000E+14            0.864147050000E+05
     0.1184490E+07            0.899649000000E+14            0.864105070000E+05
     0.1184630E+07            0.888213000000E+14            0.864061490000E+05
     0.1184770E+07            0.876872000000E+14            0.864018100000E+05
     0.1184910E+07            0.865528000000E+14            0.863974530000E+05
     0.1185050E+07            0.855041000000E+14            0.863934120000E+05
     0.1185190E+07            0.844164000000E+14            0.863892050000E+05
     0.1185320E+07            0.833374000000E+14            0.863850150000E+05
     0.1185460E+07            0.822584000000E+14            0.863808100000E+05
     0.1185590E+07            0.812624000000E+14            0.863769140000E+05
     0.1185720E+07            0.802290000000E+14            0.863728550000E+05
     0.1185850E+07            0.792041000000E+14            0.863688140000E+05
     0.1185980E+07            0.781796000000E+14            0.863647570000E+05
     0.1186110E+07            0.772326000000E+14            0.863609910000E+05
     0.1186240E+07            0.762513000000E+14            0.863570710000E+05
     0.1186360E+07            0.752790000000E+14            0.863531700000E+05
     0.1186490E+07            0.743071000000E+14            0.863492510000E+05
     0.1186610E+07            0.734062000000E+14            0.863456010000E+05
     0.1186730E+07            0.724746000000E+14            0.863418080000E+05
     0.1186860E+07            0.715528000000E+14            0.863380340000E+05
